vs,metric,mean_diff,std_diff,ci_lo,ci_hi,significant_95ci
a02,pdr,0.002756999999999998,0.01078901601166667,-0.01063718512753577,0.016151185127535765,no
a02,delay,-0.0005252000000000006,0.001074194442361344,-0.0018587747401245418,0.0008083747401245406,no
a02,hops,0.01586160000000003,0.06286262731782706,-0.06218014792101295,0.09390334792101301,no
a02,tx_j,0.0020651399999999987,0.00854579821450285,-0.008544168877087635,0.012674448877087631,no
a02,rx_j,0.0020072399999999436,0.004336972537150769,-0.0033769593554204423,0.00739143935542033,no
a02,energy_total,0.005008379999999946,0.014067627539034453,-0.012456086394275095,0.022472846394274985,no
a02,cpu_j,0.0009359999999999979,0.0013184384703125195,-0.0007007951379009015,0.0025727951379008974,no
a035,pdr,0.02125800000000001,0.023179244897105683,-0.007518219901110498,0.05003421990111052,no
a035,delay,-0.0008082000000000006,0.0015595655484781684,-0.002744345951795333,0.0011279459517953322,no
a035,hops,0.07671340000000004,0.09028195005259908,-0.0353684758051547,0.1887952758051548,no
a035,tx_j,-0.009751980000000016,0.017770034992284037,-0.03181285544518094,0.012308895445180908,no
a035,rx_j,-6.148000000005815e-05,0.006985716616926294,-0.00873400226842882,0.008611042268428704,no
a035,energy_total,-0.00902946,0.02619969139499544,-0.04155545833473272,0.02349653833473272,no
a035,cpu_j,0.0007840000000000014,0.0019073227309503694,-0.001583874301853026,0.0031518743018530285,no
a05,pdr,0.0445716,0.009547681514378252,0.03271848813103558,0.056424711868964424,yes
a05,delay,0.0013243999999999992,0.0015673334999291003,-0.0006213895911858934,0.0032701895911858916,no
a05,hops,0.48809040000000004,0.20476826297988662,0.23387778045891155,0.7423030195410885,yes
a05,tx_j,-0.013240980000000003,0.008283316894638293,-0.023524427520780065,-0.002957532479219942,yes
a05,rx_j,0.00996347999999998,0.006415800990679164,0.001998488000946574,0.017928471999053383,yes
a05,energy_total,0.002386499999999936,0.01598529854944848,-0.01745868772228305,0.022231687722282924,no
a05,cpu_j,0.005664000000000002,0.0021363707543401713,0.003011770607278478,0.008316229392721527,yes
a065,pdr,0.0853264,0.02073032991295604,0.05959042219546504,0.11106237780453496,yes
a065,delay,0.007836200000000001,0.007040333280463365,-0.0009041269414103194,0.016576526941410322,no
a065,hops,1.4761456,0.8689884247861418,0.3973269363994403,2.5549642636005596,yes
a065,tx_j,-0.0070998200000000015,0.03446182376096774,-0.04988296600588006,0.03568332600588006,no
a065,rx_j,0.04340719999999996,0.03008324124325699,0.006059910681605676,0.08075448931839424,yes
a065,energy_total,0.056679379999999877,0.0747617697098056,-0.03613473602990504,0.1494934960299048,no
a065,cpu_j,0.020372,0.011363886659061679,0.006264133118051336,0.034479866881948665,yes
a08,pdr,0.13632700000000003,0.03356808251896437,0.09465340241248937,0.1780005975875107,yes
a08,delay,0.015545400000000004,0.005609230856365251,0.008581736545241997,0.022509063454758012,yes
a08,hops,2.1610731999999997,0.687657244274137,1.307370839734799,3.0147755602652007,yes
a08,tx_j,-0.016922399999999983,0.0298087782528067,-0.0539289531381186,0.020084153138118635,no
a08,rx_j,0.06847479999999995,0.03032217308670342,0.03083088517465265,0.10611871482534724,yes
a08,energy_total,0.0837244,0.07046748937187287,-0.0037585175430725343,0.17120731754307256,no
a08,cpu_j,0.03217199999999999,0.011143389071552698,0.018337873142542593,0.04600612685745739,yes
