mote_id,path_len,pdr_exp,delay_s,gen_count,tx_j_data,rx_j_data,cpu_j_data,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust,ctrl_tx_j,ctrl_rx_j,ctrl_cpu_j,tx_j_total,rx_j_total,cpu_j_total
1,1,0.7538176770013882,0.02,36568,1.8760261632,1.8722816,0.18284,424,424,1961,1007,0.0009038877973874327,0.0321392,0.0003600000000000001,1.8769300509973874,1.9044208,0.18320000000000003
2,1,0.671483286908078,0.02,37961,1.9474904064,1.9436031999999999,0.18980500000000003,424,424,2014,1007,0.0009112195256973112,0.0325632,0.000365,1.9484016259256973,1.9761663999999999,0.19017000000000006
3,1,0.6823378108030866,0.02,41156,2.1114015744,2.1071872,0.20578000000000002,486,486,2268,1134,0.0010047318187604963,0.0368064,0.00040500000000000003,2.1124063062187606,2.1439936,0.20618499999999998
4,1,0.6106623586429726,0.02,33313,1.7090368512,1.7056255999999999,0.16656500000000002,378,378,1836,918,0.0008105375214350511,0.0295488,0.00032500000000000004,1.7098473887214352,1.7351744,0.16689000000000004
6,1,0.5747635339102435,0.02,20407,1.0469280768,1.0448384,0.10203500000000001,270,270,1134,594,0.0005351270583987178,0.0190944,0.00021,1.0474632038583986,1.0639328,0.102245
7,1,0.5655172413793104,0.02,43675,2.24063232,2.23616,0.218375,459,459,2244,1122,0.0011216459652842125,0.0360672,0.00042,2.241753965965284,2.2722272000000006,0.218795
8,1,0.4708512752567075,0.02,10491,0.5382134784,0.5371391999999999,0.052455,135,135,495,270,0.00032668840424656266,0.008712,0.000115,0.5385401668042467,0.5458511999999999,0.052570000000000006
9,2,0.35846004789132585,0.04,22616,2.4038817792,2.3158784,0.22616000000000003,190,190,874,456,0.0006345850967891379,0.014409599999999998,0.000225,2.404516364296789,2.330288,0.22638500000000003
10,1,0.4816308889209048,0.02,35152,1.8033819648,1.7997824,0.17576000000000003,416,416,1872,936,0.0009856935644374089,0.0306176,0.00035000000000000005,1.8043676583644372,1.8304,0.17611000000000007
11,2,0.342595267548094,0.04,26431,2.7444258816,2.7065344,0.26431000000000004,312,312,1404,728,0.0007921323467803794,0.0232128,0.00026500000000000004,2.74521801394678,2.7297472,0.264575
12,1,0.3992294013040901,0.02,12663,0.6496422911999999,0.6483456,0.06331500000000001,105,105,455,245,0.00036890817411886075,0.007672,0.00013000000000000002,0.6500111993741188,0.6560176,0.063445
13,1,0.39145299145299145,0.02,17757,0.9109767168,0.9091583999999999,0.088785,204,204,918,459,0.0005137167451087332,0.015014399999999999,0.00017500000000000003,0.9114904335451087,0.9241728,0.08896000000000003
14,3,0.2556533040979365,0.06,22357,3.6332092415999995,3.4340352,0.33535500000000007,180,180,828,432,0.0005805839611016097,0.0136512,0.000225,3.6337898255611014,3.4476863999999994,0.33558000000000004
15,3,0.3045932684401723,0.06,1286,0.2588954624,0.1975296,0.01929,22,22,44,22,6.209683450957734e-05,0.0009151999999999999,2.5e-05,0.2589575592345095,0.19844479999999998,0.019315000000000006
16,3,0.34421913270277915,0.06,15765,3.2238289920000005,2.421504,0.23647500000000005,108,108,432,216,0.0004896302609951097,0.0072575999999999995,0.00016,3.2243186222609954,2.4287616,0.23663500000000004
17,2,0.28646993925549036,0.04,25225,2.8671744,2.58304,0.25225000000000003,162,162,702,351,0.0006925606687400126,0.0115776,0.000255,2.867866960668741,2.5946176,0.252505
18,2,0.5057576700268281,0.04,21044,3.0535012352,2.1549055999999998,0.21044000000000002,190,190,836,418,0.00057262240315743,0.013740800000000001,0.00021500000000000002,3.054073857603158,2.1686463999999996,0.210655
19,2,0.5478051959905506,0.04,29676,3.4285513728000003,3.0388224,0.29676,180,180,900,450,0.0007044115059573013,0.0144,0.000285,3.429255784305958,3.0532223999999997,0.29704499999999995
20,2,0.47896121781472106,0.04,22343,2.4715290368,2.2879232,0.22343000000000002,250,250,1150,600,0.0007889249686332055,0.018959999999999998,0.000225,2.4723179617686326,2.3068831999999997,0.22365500000000002
21,1,0.656332744924978,0.02,49603,2.5447529472,2.5396736,0.248015,400,400,2000,1000,0.001226003626878218,0.032,0.000475,2.545978950826879,2.5716735999999996,0.24849
22,1,0.5950142600612655,0.02,50451,2.5882573824,2.5830911999999997,0.252255,506,506,2346,1196,0.0015464074847967224,0.0383456,0.000495,2.5898037898847965,2.6214367999999997,0.2527500000000001
23,1,0.7383985441310282,0.02,48442,2.4851908608,2.4802304,0.24221,450,450,2205,1125,0.0012927485016479476,0.03564,0.00047000000000000004,2.4864836093016476,2.5158704000000003,0.24267999999999998
24,1,0.7299345062283292,0.02,32869,1.6862585855999999,1.6828927999999999,0.16434500000000002,301,301,1419,731,0.0010539267741965764,0.023185599999999997,0.00032,1.6873125123741963,1.7060784,0.16466500000000003
25,1,0.7777777777777778,0.02,31506,1.6163334144,1.6131072,0.15753,329,329,1504,752,0.0009975913057975606,0.024515199999999997,0.00031,1.6173310057057975,1.6376224,0.15784
26,1,0.7345132743362832,0.02,33947,1.7415625728,1.7380864,0.16973500000000002,364,364,1768,884,0.0010647015275189143,0.028454399999999998,0.00032500000000000004,1.7426272743275188,1.7665407999999998,0.17006000000000004
27,1,0.7218664226898445,0.02,28119,1.4425721856,1.4396928,0.140595,306,306,1479,765,0.0008067484410149975,0.024072,0.00028,1.443378934041015,1.4637648,0.140875
29,1,0.8255216693418941,0.02,47517,2.4377361408,2.4328704,0.23758500000000002,520,520,2496,1248,0.0012494972560731198,0.0402688,0.00046,2.438985638056073,2.4731392000000003,0.238045
30,1,0.7663551401869159,0.02,18564,0.9523777536,0.9504768,0.09282000000000001,208,208,988,520,0.0005489593389037544,0.016224,0.000185,0.9529267129389037,0.9667008,0.09300500000000002
31,1,0.8236438822670883,0.02,39556,2.0293177343999997,2.0252672,0.19778,424,424,2120,1060,0.0010446663137274464,0.033920000000000006,0.00038,2.030362400713727,2.0591871999999998,0.19816000000000003
32,1,0.776478449716004,0.02,24113,1.2370547712,1.2345856,0.120565,260,260,1300,676,0.0006911461001462083,0.0210496,0.00024,1.2377459173001462,1.2556352000000002,0.120805
33,1,0.7341772151898734,0.02,23173,1.1888305152,1.1864576,0.11586500000000001,270,270,1296,648,0.0006055054912715485,0.020908799999999998,0.00023,1.1894360206912715,1.2073663999999997,0.116095
34,1,0.7888812313347117,0.02,22705,1.1648209919999999,1.162496,0.11352500000000001,265,265,1219,636,0.0006357771487002373,0.0200976,0.000225,1.1654567691487001,1.1825936,0.11375000000000002
35,1,0.7642327510368229,0.02,29281,1.5021855744,1.4991872,0.146405,324,324,1620,810,0.0007730947652522167,0.02592,0.000285,1.5029586691652521,1.5251071999999999,0.14669000000000001
36,1,0.7372425554243736,0.02,31997,1.6415228927999999,1.6382463999999999,0.15998500000000002,371,371,1696,848,0.0009259997083621006,0.0276448,0.00031,1.6424488925083618,1.6658912000000001,0.16029500000000002
37,1,0.7404768074630733,0.02,28297,1.4517040128,1.4488063999999998,0.141485,318,318,1537,795,0.0007609267661886965,0.025016,0.00028,1.4524649395661888,1.4738224,0.141765
38,1,0.6704515792221352,0.02,29704,1.5238864896,1.5208447999999999,0.14852,324,324,1620,810,0.0009125315674939783,0.02592,0.000285,1.524799021167494,1.5467647999999998,0.14880500000000002
