mote_id,path_len,pdr_exp,delay_s,gen_count,tx_j_data,rx_j_data,cpu_j_data,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust,ctrl_tx_j,ctrl_rx_j,ctrl_cpu_j,tx_j_total,rx_j_total,cpu_j_total
1,1,0.7538176770013882,0.02,36568,1.8760261632,1.8722816,0.18284,424,424,1961,1007,0.0009038877973874327,0.0321392,0.0003600000000000001,1.8769300509973874,1.9044208,0.18320000000000003
2,1,0.671483286908078,0.02,37961,1.9474904064,1.9436031999999999,0.18980500000000003,424,424,2014,1007,0.0009112195256973112,0.0325632,0.000365,1.9484016259256973,1.9761663999999999,0.19017000000000006
3,1,0.6823378108030866,0.02,41156,2.1114015744,2.1071872,0.20578000000000002,486,486,2268,1134,0.0010047318187604963,0.0368064,0.00040500000000000003,2.1124063062187606,2.1439936,0.20618499999999998
4,1,0.6106623586429726,0.02,33313,1.7090368512,1.7056255999999999,0.16656500000000002,378,378,1836,918,0.0008105375214350511,0.0295488,0.00032500000000000004,1.7098473887214352,1.7351744,0.16689000000000004
6,1,0.5747635339102435,0.02,20407,1.0469280768,1.0448384,0.10203500000000001,270,270,1134,594,0.0005351270583987178,0.0190944,0.00021,1.0474632038583986,1.0639328,0.102245
7,2,0.367490633249842,0.04,43675,4.58860032,4.47232,0.43675,459,459,2244,1122,0.0011216459652842125,0.0360672,0.00042,4.5897219659652855,4.5083872,0.43717000000000006
8,3,0.1553259076668728,0.06,10491,1.6930627583999998,1.6114176,0.15736500000000003,135,135,495,270,0.00032668840424656266,0.008712,0.000115,1.6933894468042463,1.6201295999999998,0.15748
9,3,0.23293845059976884,0.06,22616,3.6197179391999996,3.4738176,0.33924000000000004,190,190,874,456,0.0006345850967891379,0.014409599999999998,0.000225,3.6203525242967887,3.4882272,0.339465
10,2,0.3308140495564649,0.04,35152,3.77954304,3.5995648,0.35152000000000005,416,416,1872,936,0.0009856935644374089,0.0306176,0.00035000000000000005,3.780528733564438,3.6301824,0.35187
11,3,0.23531573747355283,0.06,26431,4.2303132672,4.0598016,0.39646500000000007,312,312,1404,728,0.0007921323467803794,0.0232128,0.00026500000000000004,4.231105399546781,4.0830144,0.39673
12,4,0.1943063558391577,0.08,12663,2.6919309312,2.5933824,0.25326000000000004,105,105,455,245,0.00036890817411886075,0.007672,0.00013000000000000002,2.6922998393741193,2.6010543999999998,0.25339
13,2,0.1929914185901306,0.04,17757,1.9983301632,1.8183167999999998,0.17757,204,204,918,459,0.0005137167451087332,0.015014399999999999,0.00017500000000000003,1.9988438799451087,1.8333311999999997,0.177745
14,4,0.17559858961832028,0.08,22357,4.890066124800001,4.5787135999999995,0.44714000000000004,180,180,828,432,0.0005805839611016097,0.0136512,0.000225,4.8906467087611025,4.5923648,0.447365
15,5,0.05263015889592245,0.1,1286,0.3494957056,0.329216,0.032150000000000005,22,22,44,22,6.209683450957734e-05,0.0009151999999999999,2.5e-05,0.3495578024345095,0.33013120000000007,0.032175
16,5,0.11965592986238578,0.1,15765,4.360321536,4.035839999999999,0.394125,108,108,432,216,0.0004896302609951097,0.0072575999999999995,0.00016,4.360811166260995,4.043097599999999,0.39428500000000005
17,5,0.04270439650045537,0.1,25225,6.9457945599999995,6.457599999999999,0.630625,162,162,702,351,0.0006925606687400126,0.0115776,0.000255,6.946487120668739,6.469177599999999,0.6308799999999999
18,5,0.06411572944335091,0.1,21044,5.7342038016,5.387264,0.5261,190,190,836,418,0.00057262240315743,0.013740800000000001,0.00021500000000000002,5.734776424003156,5.4010048,0.5263150000000002
19,6,0.06090232889422357,0.12,29676,10.107123302399998,9.116467199999999,0.8902800000000001,180,180,900,450,0.0007044115059573013,0.0144,0.000285,10.107827713905953,9.130867199999997,0.890565
20,3,0.16656054504830473,0.06,22343,3.8585824767999997,3.4318847999999997,0.335145,250,250,1150,600,0.0007889249686332055,0.018959999999999998,0.000225,3.8593714017686325,3.4508447999999996,0.33537
21,2,0.1920914423408142,0.04,49603,6.2069622784,5.0793472,0.49603,400,400,2000,1000,0.001226003626878218,0.032,0.000475,6.208188282026877,5.1113472,0.496505
22,3,0.1913582790952969,0.06,50451,8.4131280384,7.7492735999999995,0.7567650000000001,506,506,2346,1196,0.0015464074847967224,0.0383456,0.000495,8.414674445884796,7.787619199999999,0.7572600000000002
23,2,0.25678084028280307,0.04,48442,5.4924702208000005,4.9604608,0.48442,450,450,2205,1125,0.0012927485016479476,0.03564,0.00047000000000000004,5.493762969301648,4.9961008,0.48489
24,2,0.22799676264273136,0.04,32869,4.0423085056,3.3657855999999997,0.32869000000000004,301,301,1419,731,0.0010539267741965764,0.023185599999999997,0.00032,4.043362432374197,3.3889712,0.3290100000000001
25,3,0.3100054879848719,0.06,31506,5.0716090368,4.8393216,0.47259000000000007,329,329,1504,752,0.0009975913057975606,0.024515199999999997,0.00031,5.072606628105798,4.8638368,0.4729000000000001
26,3,0.2983976444142623,0.06,33947,5.3672108032,5.2142592,0.509205,364,364,1768,884,0.0010647015275189143,0.028454399999999998,0.00032500000000000004,5.368275504727519,5.2427136,0.50953
27,2,0.24866322257007403,0.04,28119,3.0348724224000003,2.8793856,0.28119,306,306,1479,765,0.0008067484410149975,0.024072,0.00028,3.0356791708410156,2.9034576,0.28146999999999994
29,2,0.47939910865270985,0.04,47517,4.933861171199999,4.8657408,0.47517000000000004,520,520,2496,1248,0.0012494972560731198,0.0402688,0.00046,4.9351106684560735,4.9060096,0.47563000000000005
30,2,0.4767612248120936,0.04,18564,1.9275669504,1.9009536,0.18564000000000003,208,208,988,520,0.0005489593389037544,0.016224,0.000185,1.9281159097389036,1.9171776,0.18582500000000002
31,1,0.8236438822670883,0.02,39556,2.0293177343999997,2.0252672,0.19778,424,424,2120,1060,0.0010446663137274464,0.033920000000000006,0.00038,2.030362400713727,2.0591871999999998,0.19816000000000003
32,2,0.6033774627719138,0.04,24113,2.5037395968,2.4691712,0.24113,260,260,1300,676,0.0006911461001462083,0.0210496,0.00024,2.504430742900146,2.4902208,0.24137
33,1,0.7341772151898734,0.02,23173,1.1888305152,1.1864576,0.11586500000000001,270,270,1296,648,0.0006055054912715485,0.020908799999999998,0.00023,1.1894360206912715,1.2073663999999997,0.116095
34,1,0.7888812313347117,0.02,22705,1.1648209919999999,1.162496,0.11352500000000001,265,265,1219,636,0.0006357771487002373,0.0200976,0.000225,1.1654567691487001,1.1825936,0.11375000000000002
35,1,0.7642327510368229,0.02,29281,1.5021855744,1.4991872,0.146405,324,324,1620,810,0.0007730947652522167,0.02592,0.000285,1.5029586691652521,1.5251071999999999,0.14669000000000001
36,2,0.24995715442074093,0.04,31997,3.3321931776,3.2764927999999998,0.31997000000000003,371,371,1696,848,0.0009259997083621006,0.0276448,0.00031,3.3331191773083617,3.3041375999999993,0.32028000000000006
37,2,0.437468294128101,0.04,28297,2.9294865408,2.8976127999999997,0.28297,318,318,1537,795,0.0007609267661886965,0.025016,0.00028,2.930247467566189,2.9226287999999996,0.28324999999999995
38,1,0.6704515792221352,0.02,29704,1.5238864896,1.5208447999999999,0.14852,324,324,1620,810,0.0009125315674939783,0.02592,0.000285,1.524799021167494,1.5467647999999998,0.14880500000000002
