mote_id,path_len,pdr_exp,delay_s,gen_count,tx_j_data,rx_j_data,cpu_j_data,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust,ctrl_tx_j,ctrl_rx_j,ctrl_cpu_j,tx_j_total,rx_j_total,cpu_j_total
1,1,0.7538176770013882,0.02,36568,1.8722816,1.8722816,0.18284,82108819,4105486,8210919,2736973,18.473952149176064,656.8714,9.166245000000002,20.34623374917606,658.7436816,9.349085
2,1,0.671483286908078,0.02,37961,1.9436031999999999,1.9436031999999999,0.18980500000000003,82108819,4105486,8210919,2736973,18.381302990864803,656.8714,9.166245000000002,20.3249061908648,658.8150032,9.356050000000002
3,1,0.6823378108030866,0.02,41156,2.1071872,2.1071872,0.20578000000000002,83658042,4182948,8365842,2788614,18.269432534263263,669.2652,9.166245000000002,20.37661973426326,671.3723872,9.372025
4,1,0.6106623586429726,0.02,33313,1.7056255999999999,1.7056255999999999,0.16656500000000002,83658042,4182948,8365842,2788614,18.35826011177218,669.2652,9.166245000000002,20.063885711772176,670.9708256,9.332810000000002
6,1,0.5747635339102435,0.02,20407,1.0448384,1.0448384,0.10203500000000001,83658042,4182948,8365842,2788614,18.756385001080396,669.2652,9.166245000000002,19.801223401080396,670.3100384,9.26828
7,1,0.5655172413793104,0.02,43675,2.23616,2.23616,0.218375,79010373,3950562,7901073,2633691,19.65703586614745,632.0837999999999,9.166245000000002,21.893195866147448,634.3199599999998,9.384620000000002
8,1,0.4708512752567075,0.02,10491,0.5371391999999999,0.5371391999999999,0.052455,69715035,3485790,6971535,2323845,20.91379516813558,557.721,9.166245000000002,21.450934368135577,558.2581392,9.218700000000002
9,1,0.22536031445625274,0.02,22616,1.1579392,1.1579392,0.11308000000000001,58870474,2943556,5887074,1962358,20.7408248222184,470.9644,9.166245000000002,21.8987640222184,472.1223392,9.279325000000002
10,1,0.4816308889209048,0.02,35152,1.7997824,1.7997824,0.17576000000000003,80559596,4028024,8055996,2685332,20.748112939749245,644.4775999999999,9.166245000000002,22.547895339749246,646.2773824000001,9.342005000000002
11,1,0.314933611815605,0.02,26431,1.3532672,1.3532672,0.13215500000000002,80559596,4028024,8055996,2685332,21.99267446130526,644.4775999999999,9.166245000000002,23.345941661305257,645.8308672000001,9.2984
12,1,0.3992294013040901,0.02,12663,0.6483456,0.6483456,0.06331500000000001,54222805,2711170,5422305,1807435,20.858458614937664,433.783,9.166245000000002,21.506804214937663,434.4313456000001,9.229560000000001
13,1,0.39145299145299145,0.02,17757,0.9091583999999999,0.9091583999999999,0.088785,79010373,3950562,7901073,2633691,21.626707185898837,632.0837999999999,9.166245000000002,22.535865585898833,632.9929583999999,9.255030000000001
14,1,0.005377456049638056,0.02,22357,1.1446783999999999,1.1446783999999999,0.11178500000000001,55772028,2788632,5577228,1859076,18.975847829908044,446.17679999999996,9.166245000000002,20.12052622990804,447.32147839999993,9.278030000000001
15,1,0.003283302063789869,0.02,1286,0.06584319999999999,0.06584319999999999,0.006430000000000001,34082906,1704164,3408306,1136102,18.500378546749992,272.66360000000003,9.166245000000002,18.566221746749992,272.72944320000005,9.172675000000002
16,1,0.009634225996080993,0.02,15765,0.807168,0.807168,0.078825,41829021,2091474,4182921,1394307,22.57581669911157,334.6326,9.166245000000002,23.38298469911157,335.439768,9.245070000000002
17,1,0.03042016806722689,0.02,25225,1.29152,1.29152,0.12612500000000001,41829021,2091474,4182921,1394307,20.01739369456616,334.6326,9.166245000000002,21.308913694566158,335.92412,9.292370000000002
18,1,0.004814857273873667,0.02,21044,1.0774527999999999,1.0774527999999999,0.10522000000000001,58870474,2943556,5887074,1962358,19.62656952503472,470.9644,9.166245000000002,20.704022325034725,472.0418528,9.271465000000001
19,1,0.09015055323780156,0.02,29676,1.5194112,1.5194112,0.14838,46476690,2323860,4647690,1549230,18.18819858861167,371.814,9.166245000000002,19.70760978861167,373.3334112,9.314625000000001
20,1,0.283225374134465,0.02,22343,1.1439616,1.1439616,0.11171500000000001,77461150,3873100,7746150,2582050,25.785280264362395,619.6899999999999,9.166245000000002,26.929241864362396,620.8339616,9.277960000000002
21,1,0.656332744924978,0.02,49603,2.5396736,2.5396736,0.248015,61968920,3098480,6196920,2065640,18.993554688504073,495.752,9.166245000000002,21.53322828850407,498.2916736,9.41426
22,1,0.5950142600612655,0.02,50451,2.5830911999999997,2.5830911999999997,0.252255,71264258,3563252,7126458,2375486,22.99168076424378,570.1148000000001,9.166245000000002,25.57477196424378,572.6978912000001,9.418500000000002
