mote_id,path_len,pdr_exp,delay_s,gen_count,tx_j_data,rx_j_data,cpu_j_data,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust,ctrl_tx_j,ctrl_rx_j,ctrl_cpu_j,tx_j_total,rx_j_total,cpu_j_total
1,7,0.016319416413559582,0.14,36568,16.550969344000002,13.105971199999999,1.2798800000000001,82108819,4105486,8210919,2736973,18.473952149176064,656.8714,9.166245000000002,35.02492149317606,669.9773712,10.446125
2,8,0.018375671451859244,0.16,37961,18.7130116096,15.548825599999999,1.5184400000000002,82108819,4105486,8210919,2736973,18.381302990864803,656.8714,9.166245000000002,37.0943146004648,672.4202256,10.684685000000002
3,6,0.02105448290728493,0.12,41156,16.43606016,12.6431232,1.23468,83658042,4182948,8365842,2788614,18.269432534263263,669.2652,9.166245000000002,34.70549269426327,681.9083232,10.400925
4,6,0.020517783637145477,0.12,33313,13.013923328,10.2337536,0.99939,83658042,4182948,8365842,2788614,18.35826011177218,669.2652,9.166245000000002,31.37218343977218,679.4989536,10.165635000000002
6,6,0.038554606889221264,0.12,20407,7.78404608,6.2690304,0.61221,83658042,4182948,8365842,2788614,18.756385001080396,669.2652,9.166245000000002,26.540431081080396,675.5342304000001,9.778455000000001
7,7,0.03507805145213676,0.14,43675,18.63168512,15.65312,1.5286250000000001,79010373,3950562,7901073,2633691,19.65703586614745,632.0837999999999,9.166245000000002,38.288720986147446,647.7369199999998,10.694870000000002
8,7,0.02802155927055099,0.14,10491,4.4840380416,3.7599744,0.36718500000000004,69715035,3485790,6971535,2323845,20.91379516813558,557.721,9.166245000000002,25.397833209735577,561.4809743999999,9.533430000000001
9,7,0.0396537681438284,0.14,22616,9.636370022400001,8.1055744,0.79156,58870474,2943556,5887074,1962358,20.7408248222184,470.9644,9.166245000000002,30.3771948446184,479.06997440000004,9.957805
10,6,0.05968048496493365,0.12,35152,13.1312123904,10.798694399999999,1.05456,80559596,4028024,8055996,2685332,20.748112939749245,644.4775999999999,9.166245000000002,33.87932533014925,655.2762944000001,10.220805
11,5,0.09197207951634202,0.1,26431,8.484985344,6.766336,0.660775,80559596,4028024,8055996,2685332,21.99267446130526,644.4775999999999,9.166245000000002,30.47765980530526,651.2439360000001,9.827020000000001
12,5,0.10133670787853678,0.1,12663,4.0353030144,3.2417279999999997,0.316575,54222805,2711170,5422305,1807435,20.858458614937664,433.783,9.166245000000002,24.893761629337664,437.0247280000001,9.48282
13,6,0.07569938691097534,0.12,17757,6.5986716672,5.4549503999999995,0.53271,79010373,3950562,7901073,2633691,21.626707185898837,632.0837999999999,9.166245000000002,28.22537885309883,637.5387503999998,9.698955000000002
14,4,0.1382571986988205,0.08,22357,5.8653321216,4.5787135999999995,0.44714000000000004,55772028,2788632,5577228,1859076,18.975847829908044,446.17679999999996,9.166245000000002,24.841179951508042,450.7555136,9.613385000000001
15,4,0.08960676296906306,0.08,1286,0.33105960959999997,0.26337279999999996,0.025720000000000003,34082906,1704164,3408306,1136102,18.500378546749992,272.66360000000003,9.166245000000002,18.83143815634999,272.92697280000004,9.191965000000001
16,0,0.0,0.0,15765,0.0,0.0,0.0,41829021,2091474,4182921,1394307,22.57581669911157,334.6326,9.166245000000002,22.57581669911157,334.6326,9.166245000000002
17,4,0.10129877333824645,0.08,25225,6.542840319999999,5.16608,0.5045000000000001,41829021,2091474,4182921,1394307,20.01739369456616,334.6326,9.166245000000002,26.56023401456616,339.79868000000005,9.670745
