mote_id,path_len,pdr_exp,delay_s,gen_count,tx_j_data,rx_j_data,cpu_j_data,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust,ctrl_tx_j,ctrl_rx_j,ctrl_cpu_j,tx_j_total,rx_j_total,cpu_j_total
1,1,0.7538176770013882,0.02,36568,1.8722816,1.8722816,0.18284,424,424,1961,1007,0.0009038877973874327,0.0321392,0.0003600000000000001,1.8731854877973875,1.9044208,0.18320000000000003
2,1,0.671483286908078,0.02,37961,1.9436031999999999,1.9436031999999999,0.18980500000000003,424,424,2014,1007,0.0009112195256973112,0.0325632,0.000365,1.9445144195256971,1.9761663999999999,0.19017000000000006
3,1,0.6823378108030866,0.02,41156,2.1071872,2.1071872,0.20578000000000002,486,486,2268,1134,0.0010047318187604963,0.0368064,0.00040500000000000003,2.1081919318187605,2.1439936,0.20618499999999998
4,1,0.6106623586429726,0.02,33313,1.7056255999999999,1.7056255999999999,0.16656500000000002,378,378,1836,918,0.0008105375214350511,0.0295488,0.00032500000000000004,1.706436137521435,1.7351744,0.16689000000000004
6,1,0.5747635339102435,0.02,20407,1.0448384,1.0448384,0.10203500000000001,270,270,1134,594,0.0005351270583987178,0.0190944,0.00021,1.0453735270583986,1.0639328,0.102245
7,2,0.367490633249842,0.04,43675,4.47232,4.47232,0.43675,459,459,2244,1122,0.0011216459652842125,0.0360672,0.00042,4.473441645965285,4.5083872,0.43717000000000006
8,3,0.1553259076668728,0.06,10491,1.6114176,1.6114176,0.15736500000000003,135,135,495,270,0.00032668840424656266,0.008712,0.000115,1.6117442884042466,1.6201295999999998,0.15748
9,3,0.23293845059976884,0.06,22616,3.4738176,3.4738176,0.33924000000000004,190,190,874,456,0.0006345850967891379,0.014409599999999998,0.000225,3.474452185096789,3.4882272,0.339465
10,2,0.3308140495564649,0.04,35152,3.5995648,3.5995648,0.35152000000000005,416,416,1872,936,0.0009856935644374089,0.0306176,0.00035000000000000005,3.600550493564438,3.6301824,0.35187
11,3,0.23531573747355283,0.06,26431,4.0598016,4.0598016,0.39646500000000007,312,312,1404,728,0.0007921323467803794,0.0232128,0.00026500000000000004,4.060593732346781,4.0830144,0.39673
12,4,0.1943063558391577,0.08,12663,2.5933824,2.5933824,0.25326000000000004,105,105,455,245,0.00036890817411886075,0.007672,0.00013000000000000002,2.5937513081741193,2.6010543999999998,0.25339
13,2,0.1929914185901306,0.04,17757,1.8183167999999998,1.8183167999999998,0.17757,204,204,918,459,0.0005137167451087332,0.015014399999999999,0.00017500000000000003,1.8188305167451086,1.8333311999999997,0.177745
14,4,0.17559858961832028,0.08,22357,4.5787135999999995,4.5787135999999995,0.44714000000000004,180,180,828,432,0.0005805839611016097,0.0136512,0.000225,4.579294183961101,4.5923648,0.447365
15,5,0.05263015889592245,0.1,1286,0.329216,0.329216,0.032150000000000005,22,22,44,22,6.209683450957734e-05,0.0009151999999999999,2.5e-05,0.32927809683450954,0.33013120000000007,0.032175
16,5,0.11965592986238578,0.1,15765,4.035839999999999,4.035839999999999,0.394125,108,108,432,216,0.0004896302609951097,0.0072575999999999995,0.00016,4.036329630260995,4.043097599999999,0.39428500000000005
17,5,0.04270439650045537,0.1,25225,6.457599999999999,6.457599999999999,0.630625,162,162,702,351,0.0006925606687400126,0.0115776,0.000255,6.458292560668739,6.469177599999999,0.6308799999999999
18,5,0.06411572944335091,0.1,21044,5.387264,5.387264,0.5261,190,190,836,418,0.00057262240315743,0.013740800000000001,0.00021500000000000002,5.387836622403157,5.4010048,0.5263150000000002
19,6,0.06090232889422357,0.12,29676,9.116467199999999,9.116467199999999,0.8902800000000001,180,180,900,450,0.0007044115059573013,0.0144,0.000285,9.117171611505954,9.130867199999997,0.890565
20,3,0.16656054504830473,0.06,22343,3.4318847999999997,3.4318847999999997,0.335145,250,250,1150,600,0.0007889249686332055,0.018959999999999998,0.000225,3.4326737249686325,3.4508447999999996,0.33537
21,2,0.1920914423408142,0.04,49603,5.0793472,5.0793472,0.49603,400,400,2000,1000,0.001226003626878218,0.032,0.000475,5.080573203626877,5.1113472,0.496505
22,3,0.1913582790952969,0.06,50451,7.7492735999999995,7.7492735999999995,0.7567650000000001,506,506,2346,1196,0.0015464074847967224,0.0383456,0.000495,7.750820007484797,7.787619199999999,0.7572600000000002
23,2,0.25678084028280307,0.04,48442,4.9604608,4.9604608,0.48442,450,450,2205,1125,0.0012927485016479476,0.03564,0.00047000000000000004,4.9617535485016475,4.9961008,0.48489
24,2,0.22799676264273136,0.04,32869,3.3657855999999997,3.3657855999999997,0.32869000000000004,301,301,1419,731,0.0010539267741965764,0.023185599999999997,0.00032,3.3668395267741964,3.3889712,0.3290100000000001
25,3,0.3100054879848719,0.06,31506,4.8393216,4.8393216,0.47259000000000007,329,329,1504,752,0.0009975913057975606,0.024515199999999997,0.00031,4.840319191305798,4.8638368,0.4729000000000001
