mote_id,path_len,pdr_exp,delay_s,gen_count,tx_j_data,rx_j_data,cpu_j_data,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust,ctrl_tx_j,ctrl_rx_j,ctrl_cpu_j,tx_j_total,rx_j_total,cpu_j_total
1,1,0.7538176770013882,0.02,36568,1.8722816,1.8722816,0.18284,424,424,1961,1007,0.0009038877973874327,0.0321392,0.0003600000000000001,1.8731854877973875,1.9044208,0.18320000000000003
2,2,0.2608965079872493,0.04,37961,3.8872063999999997,3.8872063999999997,0.37961000000000006,424,424,2014,1007,0.0009112195256973112,0.0325632,0.000365,3.888117619525697,3.9197695999999995,0.37997500000000006
3,2,0.5678946546372277,0.04,41156,4.2143744,4.2143744,0.41156000000000004,486,486,2268,1134,0.0010047318187604963,0.0368064,0.00040500000000000003,4.21537913181876,4.2511808,0.4119650000000001
4,3,0.2940808565502812,0.06,33313,5.1168768,5.1168768,0.49969500000000006,378,378,1836,918,0.0008105375214350511,0.0295488,0.00032500000000000004,5.117687337521436,5.146425600000001,0.50002
6,3,0.3673200684250452,0.06,20407,3.1345152,3.1345152,0.306105,270,270,1134,594,0.0005351270583987178,0.0190944,0.00021,3.1350503270583987,3.1536096000000002,0.30631500000000006
7,4,0.10007612997348234,0.08,43675,8.94464,8.94464,0.8735,459,459,2244,1122,0.0011216459652842125,0.0360672,0.00042,8.945761645965284,8.9807072,0.87392
8,4,0.19088057126052954,0.08,10491,2.1485567999999997,2.1485567999999997,0.20982,135,135,495,270,0.00032668840424656266,0.008712,0.000115,2.148883488404246,2.1572687999999998,0.20993499999999998
9,4,0.14657684730724638,0.08,22616,4.6317568,4.6317568,0.45232000000000006,190,190,874,456,0.0006345850967891379,0.014409599999999998,0.000225,4.632391385096788,4.6461664,0.45254500000000003
10,3,0.16437093221785629,0.06,35152,5.399347199999999,5.399347199999999,0.5272800000000001,416,416,1872,936,0.0009856935644374089,0.0306176,0.00035000000000000005,5.400332893564437,5.4299648,0.5276300000000002
11,2,0.2533078686776511,0.04,26431,2.7065344,2.7065344,0.26431000000000004,312,312,1404,728,0.0007921323467803794,0.0232128,0.00026500000000000004,2.70732653234678,2.7297472,0.264575
12,1,0.3992294013040901,0.02,12663,0.6483456,0.6483456,0.06331500000000001,105,105,455,245,0.00036890817411886075,0.007672,0.00013000000000000002,0.6487145081741188,0.6560176,0.063445
13,2,0.29822777499126046,0.04,17757,1.8183167999999998,1.8183167999999998,0.17757,204,204,918,459,0.0005137167451087332,0.015014399999999999,0.00017500000000000003,1.8188305167451086,1.8333311999999997,0.177745
14,2,0.24317075219039203,0.04,22357,2.2893567999999997,2.2893567999999997,0.22357000000000002,180,180,828,432,0.0005805839611016097,0.0136512,0.000225,2.2899373839611017,2.3030079999999993,0.22379500000000002
15,3,0.07288279111147304,0.06,1286,0.1975296,0.1975296,0.01929,22,22,44,22,6.209683450957734e-05,0.0009151999999999999,2.5e-05,0.19759169683450956,0.19844479999999998,0.019315000000000006
16,3,0.1657007754556672,0.06,15765,2.421504,2.421504,0.23647500000000005,108,108,432,216,0.0004896302609951097,0.0072575999999999995,0.00016,2.421993630260995,2.4287616,0.23663500000000004
17,3,0.05913749217134408,0.06,25225,3.87456,3.87456,0.3783750000000001,162,162,702,351,0.0006925606687400126,0.0115776,0.000255,3.8752525606687405,3.8861375999999996,0.37863
18,3,0.08878812859410738,0.06,21044,3.2323584,3.2323584,0.31566000000000005,190,190,836,418,0.00057262240315743,0.013740800000000001,0.00021500000000000002,3.2329310224031578,3.2460991999999997,0.3158750000000001
19,3,0.3335067569089516,0.06,29676,4.558233599999999,4.558233599999999,0.44514000000000004,180,180,900,450,0.0007044115059573013,0.0144,0.000285,4.558938011505957,4.5726336,0.44542499999999996
20,2,0.4050270175422619,0.04,22343,2.2879232,2.2879232,0.22343000000000002,250,250,1150,600,0.0007889249686332055,0.018959999999999998,0.000225,2.2887121249686326,2.3068831999999997,0.22365500000000002
21,2,0.4162605276973173,0.04,49603,5.0793472,5.0793472,0.49603,400,400,2000,1000,0.001226003626878218,0.032,0.000475,5.080573203626877,5.1113472,0.496505
22,1,0.5950142600612655,0.02,50451,2.5830911999999997,2.5830911999999997,0.252255,506,506,2346,1196,0.0015464074847967224,0.0383456,0.000495,2.584637607484796,2.6214367999999997,0.2527500000000001
23,2,0.4030829086584278,0.04,48442,4.9604608,4.9604608,0.48442,450,450,2205,1125,0.0012927485016479476,0.03564,0.00047000000000000004,4.9617535485016475,4.9961008,0.48489
24,2,0.367614434975568,0.04,32869,3.3657855999999997,3.3657855999999997,0.32869000000000004,301,301,1419,731,0.0010539267741965764,0.023185599999999997,0.00032,3.3668395267741964,3.3889712,0.3290100000000001
25,2,0.28856633125110726,0.04,31506,3.2262144,3.2262144,0.31506,329,329,1504,752,0.0009975913057975606,0.024515199999999997,0.00031,3.227211991305797,3.2507296,0.31537000000000004
26,3,0.23815673185943526,0.06,33947,5.2142592,5.2142592,0.509205,364,364,1768,884,0.0010647015275189143,0.028454399999999998,0.00032500000000000004,5.215323901527519,5.2427136,0.50953
27,3,0.22668996264733104,0.06,28119,4.3190783999999995,4.3190783999999995,0.4217850000000001,306,306,1479,765,0.0008067484410149975,0.024072,0.00028,4.319885148441015,4.3431504,0.422065
29,2,0.12762663307393787,0.04,47517,4.8657408,4.8657408,0.47517000000000004,520,520,2496,1248,0.0012494972560731198,0.0402688,0.00046,4.866990297256074,4.9060096,0.47563000000000005
30,2,0.18392084784446566,0.04,18564,1.9009536,1.9009536,0.18564000000000003,208,208,988,520,0.0005489593389037544,0.016224,0.000185,1.9015025593389037,1.9171776,0.18582500000000002
31,2,0.12179733903174257,0.04,39556,4.0505344,4.0505344,0.39556,424,424,2120,1060,0.0010446663137274464,0.033920000000000006,0.00038,4.051579066313728,4.0844544,0.39593999999999996
32,2,0.19108722039188486,0.04,24113,2.4691712,2.4691712,0.24113,260,260,1300,676,0.0006911461001462083,0.0210496,0.00024,2.469862346100146,2.4902208,0.24137
33,1,0.7341772151898734,0.02,23173,1.1864576,1.1864576,0.11586500000000001,270,270,1296,648,0.0006055054912715485,0.020908799999999998,0.00023,1.1870631054912715,1.2073663999999997,0.116095
34,3,0.18897860159576252,0.06,22705,3.487488,3.487488,0.34057500000000007,265,265,1219,636,0.0006357771487002373,0.0200976,0.000225,3.4881237771487,3.5075856,0.34080000000000005
35,2,0.2275568757266978,0.04,29281,2.9983744,2.9983744,0.29281,324,324,1620,810,0.0007730947652522167,0.02592,0.000285,2.999147494765252,3.0242944,0.29309499999999994
36,2,0.3291903084768447,0.04,31997,3.2764927999999998,3.2764927999999998,0.31997000000000003,371,371,1696,848,0.0009259997083621006,0.0276448,0.00031,3.2774187997083617,3.3041375999999993,0.32028000000000006
37,2,0.19875861268435152,0.04,28297,2.8976127999999997,2.8976127999999997,0.28297,318,318,1537,795,0.0007609267661886965,0.025016,0.00028,2.8983737267661884,2.9226287999999996,0.28324999999999995
38,3,0.3117533640046409,0.06,29704,4.5625344,4.5625344,0.44556000000000007,324,324,1620,810,0.0009125315674939783,0.02592,0.000285,4.563446931567494,4.588454399999999,0.445845
39,3,0.30683961054248504,0.06,26470,4.065792,4.065792,0.39705000000000007,300,300,1350,700,0.0007231260969009439,0.02232,0.00026500000000000004,4.066515126096901,4.088112,0.39731500000000003
40,2,0.4078289696096224,0.04,32287,3.3061887999999997,3.3061887999999997,0.32287000000000005,364,364,1716,884,0.0009903629246146568,0.028038399999999998,0.00032,3.3071791629246143,3.3342271999999995,0.3231900000000001
41,2,0.3510309369108201,0.04,30073,3.0794752,3.0794752,0.30073,350,350,1550,800,0.0010235246810706635,0.025679999999999998,0.000305,3.080498724681071,3.1051552,0.30103500000000005
