mote_id,path_len,pdr_exp,delay_s,gen_count,tx_j_data,rx_j_data,cpu_j_data,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust,ctrl_tx_j,ctrl_rx_j,ctrl_cpu_j,tx_j_total,rx_j_total,cpu_j_total
1,1,0.7538176770013882,0.02,36568,1.8722816,1.8722816,0.18284,424,424,1961,1007,0.0009038877973874327,0.0321392,0.0003600000000000001,1.8731854877973875,1.9044208,0.18320000000000003
2,1,0.671483286908078,0.02,37961,1.9436031999999999,1.9436031999999999,0.18980500000000003,424,424,2014,1007,0.0009112195256973112,0.0325632,0.000365,1.9445144195256971,1.9761663999999999,0.19017000000000006
3,1,0.6823378108030866,0.02,41156,2.1071872,2.1071872,0.20578000000000002,486,486,2268,1134,0.0010047318187604963,0.0368064,0.00040500000000000003,2.1081919318187605,2.1439936,0.20618499999999998
4,1,0.6106623586429726,0.02,33313,1.7056255999999999,1.7056255999999999,0.16656500000000002,378,378,1836,918,0.0008105375214350511,0.0295488,0.00032500000000000004,1.706436137521435,1.7351744,0.16689000000000004
6,1,0.5747635339102435,0.02,20407,1.0448384,1.0448384,0.10203500000000001,270,270,1134,594,0.0005351270583987178,0.0190944,0.00021,1.0453735270583986,1.0639328,0.102245
7,1,0.5655172413793104,0.02,43675,2.23616,2.23616,0.218375,459,459,2244,1122,0.0011216459652842125,0.0360672,0.00042,2.237281645965284,2.2722272000000006,0.218795
8,1,0.4708512752567075,0.02,10491,0.5371391999999999,0.5371391999999999,0.052455,135,135,495,270,0.00032668840424656266,0.008712,0.000115,0.5374658884042466,0.5458511999999999,0.052570000000000006
9,2,0.35846004789132585,0.04,22616,2.3158784,2.3158784,0.22616000000000003,190,190,874,456,0.0006345850967891379,0.014409599999999998,0.000225,2.316512985096789,2.330288,0.22638500000000003
10,1,0.4816308889209048,0.02,35152,1.7997824,1.7997824,0.17576000000000003,416,416,1872,936,0.0009856935644374089,0.0306176,0.00035000000000000005,1.8007680935644372,1.8304,0.17611000000000007
11,2,0.342595267548094,0.04,26431,2.7065344,2.7065344,0.26431000000000004,312,312,1404,728,0.0007921323467803794,0.0232128,0.00026500000000000004,2.70732653234678,2.7297472,0.264575
12,1,0.3992294013040901,0.02,12663,0.6483456,0.6483456,0.06331500000000001,105,105,455,245,0.00036890817411886075,0.007672,0.00013000000000000002,0.6487145081741188,0.6560176,0.063445
13,1,0.39145299145299145,0.02,17757,0.9091583999999999,0.9091583999999999,0.088785,204,204,918,459,0.0005137167451087332,0.015014399999999999,0.00017500000000000003,0.9096721167451086,0.9241728,0.08896000000000003
14,3,0.2556533040979365,0.06,22357,3.4340352,3.4340352,0.33535500000000007,180,180,828,432,0.0005805839611016097,0.0136512,0.000225,3.434615783961102,3.4476863999999994,0.33558000000000004
15,3,0.3045932684401723,0.06,1286,0.1975296,0.1975296,0.01929,22,22,44,22,6.209683450957734e-05,0.0009151999999999999,2.5e-05,0.19759169683450956,0.19844479999999998,0.019315000000000006
16,3,0.34421913270277915,0.06,15765,2.421504,2.421504,0.23647500000000005,108,108,432,216,0.0004896302609951097,0.0072575999999999995,0.00016,2.421993630260995,2.4287616,0.23663500000000004
17,2,0.28646993925549036,0.04,25225,2.58304,2.58304,0.25225000000000003,162,162,702,351,0.0006925606687400126,0.0115776,0.000255,2.5837325606687407,2.5946176,0.252505
18,2,0.5057576700268281,0.04,21044,2.1549055999999998,2.1549055999999998,0.21044000000000002,190,190,836,418,0.00057262240315743,0.013740800000000001,0.00021500000000000002,2.1554782224031577,2.1686463999999996,0.210655
19,2,0.5478051959905506,0.04,29676,3.0388224,3.0388224,0.29676,180,180,900,450,0.0007044115059573013,0.0144,0.000285,3.0395268115059575,3.0532223999999997,0.29704499999999995
20,2,0.47896121781472106,0.04,22343,2.2879232,2.2879232,0.22343000000000002,250,250,1150,600,0.0007889249686332055,0.018959999999999998,0.000225,2.2887121249686326,2.3068831999999997,0.22365500000000002
21,1,0.656332744924978,0.02,49603,2.5396736,2.5396736,0.248015,400,400,2000,1000,0.001226003626878218,0.032,0.000475,2.5408996036268787,2.5716735999999996,0.24849
22,1,0.5950142600612655,0.02,50451,2.5830911999999997,2.5830911999999997,0.252255,506,506,2346,1196,0.0015464074847967224,0.0383456,0.000495,2.584637607484796,2.6214367999999997,0.2527500000000001
23,1,0.7383985441310282,0.02,48442,2.4802304,2.4802304,0.24221,450,450,2205,1125,0.0012927485016479476,0.03564,0.00047000000000000004,2.4815231485016476,2.5158704000000003,0.24267999999999998
24,1,0.7299345062283292,0.02,32869,1.6828927999999999,1.6828927999999999,0.16434500000000002,301,301,1419,731,0.0010539267741965764,0.023185599999999997,0.00032,1.6839467267741963,1.7060784,0.16466500000000003
