mote_id,path_len,pdr_exp,delay_s,gen_count,tx_j_data,rx_j_data,cpu_j_data,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust,ctrl_tx_j,ctrl_rx_j,ctrl_cpu_j,tx_j_total,rx_j_total,cpu_j_total
1,1,0.8138593243868579,0.02,36568,1.8722816,1.8722816,0.18284,424,424,1961,1007,0.0009038877973874327,0.0321392,0.0003600000000000001,1.8731854877973875,1.9044208,0.18320000000000003
2,1,0.705057451253482,0.02,37961,1.9436031999999999,1.9436031999999999,0.18980500000000003,424,424,2014,1007,0.0009112195256973112,0.0325632,0.000365,1.9445144195256971,1.9761663999999999,0.19017000000000006
3,1,0.7910260074306945,0.02,41156,2.1071872,2.1071872,0.20578000000000002,486,486,2268,1134,0.0010047318187604963,0.0368064,0.00040500000000000003,2.1081919318187605,2.1439936,0.20618499999999998
4,1,0.6411954765751212,0.02,33313,1.7056255999999999,1.7056255999999999,0.16656500000000002,378,378,1836,918,0.0008105375214350511,0.0295488,0.00032500000000000004,1.706436137521435,1.7351744,0.16689000000000004
6,2,0.537225893998061,0.04,20407,2.0896768,2.0896768,0.20407000000000003,270,270,1134,594,0.0005351270583987178,0.0190944,0.00021,2.0902119270583985,2.1087712,0.20428000000000002
7,3,0.36066442276261373,0.06,43675,6.70848,6.70848,0.6551250000000001,459,459,2244,1122,0.0011216459652842125,0.0360672,0.00042,6.709601645965285,6.7445471999999995,0.655545
8,2,0.47714213649941806,0.04,10491,1.0742783999999999,1.0742783999999999,0.10491,135,135,495,270,0.00032668840424656266,0.008712,0.000115,1.0746050884042464,1.0829903999999997,0.10502500000000001
9,3,0.3822812513626028,0.06,22616,3.4738176,3.4738176,0.33924000000000004,190,190,874,456,0.0006345850967891379,0.014409599999999998,0.000225,3.474452185096789,3.4882272,0.339465
10,2,0.5479508191665036,0.04,35152,3.5995648,3.5995648,0.35152000000000005,416,416,1872,936,0.0009856935644374089,0.0306176,0.00035000000000000005,3.600550493564438,3.6301824,0.35187
11,1,0.8042219901536626,0.02,26431,1.3532672,1.3532672,0.13215500000000002,312,312,1404,728,0.0007921323467803794,0.0232128,0.00026500000000000004,1.3540593323467802,1.3764799999999997,0.13242
12,2,0.6972704765253436,0.04,12663,1.2966912,1.2966912,0.12663000000000002,105,105,455,245,0.00036890817411886075,0.007672,0.00013000000000000002,1.2970601081741189,1.3043631999999998,0.12676
13,1,0.8569230769230769,0.02,17757,0.9091583999999999,0.9091583999999999,0.088785,204,204,918,459,0.0005137167451087332,0.015014399999999999,0.00017500000000000003,0.9096721167451086,0.9241728,0.08896000000000003
