mode,proto,h,r,pdr,delay_s,ctrl_hello_sum,ctrl_routing_sum,ctrl_total_j,total_j,ctrl_percent
elec,etx,1,500,0.6,0.02,660,33,0.007558561792958919,0.02689056179295892,28.108604986222595
elec,etx,2,500,0.6,0.02,330,33,0.00441843321854287,0.023750433218542873,18.603589997226788
elec,etx,5,500,0.6,0.02,132,33,0.0025343560738932407,0.021866356073893242,11.590207647441854
elec,etx,10,500,0.6,0.02,66,33,0.0019063303590100306,0.021238330359010033,8.975895594360125
elec,etx,20,500,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,etx,25,500,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,etx,50,500,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,etx,100,500,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,etx,200,500,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,etx,500,1,0.6,0.02,33,660,0.008836372865806541,0.02816837286580654,31.369837753507493
elec,etx,500,2,0.6,0.02,33,330,0.005023712147786481,0.02435571214778648,20.62642273526398
elec,etx,500,5,0.6,0.02,33,132,0.0027361157169744446,0.022068115716974444,12.39850176637359
elec,etx,500,10,0.6,0.02,33,66,0.001973583573370432,0.021305583573370434,9.263222321857393
elec,etx,500,20,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,etx,500,25,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,etx,500,50,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,etx,500,100,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,etx,500,200,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,etx,500,500,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,etx,500,1000,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,etx,500,2000,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,etx,1000,500,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,etx,2000,500,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,trusthr,1,500,0.6,0.02,660,33,0.007558561792958919,0.02689056179295892,28.108604986222595
elec,trusthr,2,500,0.6,0.02,330,33,0.00441843321854287,0.023750433218542873,18.603589997226788
elec,trusthr,5,500,0.6,0.02,132,33,0.0025343560738932407,0.021866356073893242,11.590207647441854
elec,trusthr,10,500,0.6,0.02,66,33,0.0019063303590100306,0.021238330359010033,8.975895594360125
elec,trusthr,20,500,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,trusthr,25,500,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,trusthr,50,500,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,trusthr,100,500,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,trusthr,200,500,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,trusthr,500,1,0.6,0.02,33,660,0.008836372865806541,0.02816837286580654,31.369837753507493
elec,trusthr,500,2,0.6,0.02,33,330,0.005023712147786481,0.02435571214778648,20.62642273526398
elec,trusthr,500,5,0.6,0.02,33,132,0.0027361157169744446,0.022068115716974444,12.39850176637359
elec,trusthr,500,10,0.6,0.02,33,66,0.001973583573370432,0.021305583573370434,9.263222321857393
elec,trusthr,500,20,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,trusthr,500,25,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,trusthr,500,50,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,trusthr,500,100,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,trusthr,500,200,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,trusthr,500,500,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,trusthr,500,1000,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,trusthr,500,2000,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,trusthr,1000,500,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
elec,trusthr,2000,500,0.6,0.02,33,33,0.0015923175015684261,0.020924317501568427,7.609889791860931
