run_id,task_tag,datetime_utc,proto,energy_mode,pij_scale,connectivity,cleaned,mote_locs,out_prefix,n_motes,total_gen,pdr_mean,delay_mean,tx_j_sum_data,rx_j_sum_data
selftest_20250820T185351Z,selftest,20250820T185351Z,none,elec,1.00,WSN-Intel-Lab-Project/data/connectivity.txt,WSN-Intel-Lab-Project/data/processed/cleaned_data.csv,WSN-Intel-Lab-Project/data/mote_locs.txt,WSN-Intel-Lab-Project/augment/results/real/selftest,0,0,0,0,0,0
real_eval_20250820T185433Z,real_eval,20250820T185433Z,greedy,elec,,WSN-Intel-Lab-Project\data\connectivity.txt,WSN-Intel-Lab-Project\data\processed\cleaned_data.csv,WSN-Intel-Lab-Project\data\mote_locs.txt,WSN-Intel-Lab-Project\augment\results\real\greedy_elec,52,1540512,0.6293646848893285,0.03455458964292391,136.27330560000001,136.27330560000001
real_eval_20250820T190138Z,real_eval,20250820T190138Z,greedy,elec,,WSN-Intel-Lab-Project\augment\results\real\sanity\conn_scaled_0.95.txt,WSN-Intel-Lab-Project\data\processed\cleaned_data.csv,WSN-Intel-Lab-Project\data\mote_locs.txt,WSN-Intel-Lab-Project\augment\results\real\sanity\f0.95_greedy_elec,52,1540512,0.584759130634856,0.03455458964292391,136.27330560000001,136.27330560000001
real_eval_20250820T190146Z,real_eval,20250820T190146Z,leach,elec,,WSN-Intel-Lab-Project\augment\results\real\sanity\conn_scaled_0.95.txt,WSN-Intel-Lab-Project\data\processed\cleaned_data.csv,WSN-Intel-Lab-Project\data\mote_locs.txt,WSN-Intel-Lab-Project\augment\results\real\sanity\f0.95_leach_elec,52,1540512,0.26249376248186873,0.047017550009347535,185.42361599999998,185.42361599999998
real_eval_20250820T190158Z,real_eval,20250820T190158Z,heed,elec,,WSN-Intel-Lab-Project\augment\results\real\sanity\conn_scaled_0.95.txt,WSN-Intel-Lab-Project\data\processed\cleaned_data.csv,WSN-Intel-Lab-Project\data\mote_locs.txt,WSN-Intel-Lab-Project\augment\results\real\sanity\f0.95_heed_elec,52,1540512,0.31062237325263414,0.0449384750005193,177.2243456,177.2243456
real_eval_20250820T190209Z,real_eval,20250820T190209Z,etx,elec,,WSN-Intel-Lab-Project\augment\results\real\sanity\conn_scaled_0.95.txt,WSN-Intel-Lab-Project\data\processed\cleaned_data.csv,WSN-Intel-Lab-Project\data\mote_locs.txt,WSN-Intel-Lab-Project\augment\results\real\sanity\f0.95_etx_elec,52,1540512,0.5624618009603456,0.022302650028042624,87.95519999999999,87.95519999999999
real_eval_20250820T190218Z,real_eval,20250820T190218Z,trusthr,elec,,WSN-Intel-Lab-Project\augment\results\real\sanity\conn_scaled_0.95.txt,WSN-Intel-Lab-Project\data\processed\cleaned_data.csv,WSN-Intel-Lab-Project\data\mote_locs.txt,WSN-Intel-Lab-Project\augment\results\real\sanity\f0.95_trusthr_elec,52,1540512,0.5630001591938809,0.02285819260090152,90.1460992,90.1460992
real_eval_20250820T190228Z,real_eval,20250820T190228Z,greedy,elec,,WSN-Intel-Lab-Project\augment\results\real\sanity\conn_scaled_1.05.txt,WSN-Intel-Lab-Project\data\processed\cleaned_data.csv,WSN-Intel-Lab-Project\data\mote_locs.txt,WSN-Intel-Lab-Project\augment\results\real\sanity\f1.05_greedy_elec,52,1540512,0.6759717697923713,0.03455458964292391,136.27330560000001,136.27330560000001
real_eval_20250820T190239Z,real_eval,20250820T190239Z,leach,elec,,WSN-Intel-Lab-Project\augment\results\real\sanity\conn_scaled_1.05.txt,WSN-Intel-Lab-Project\data\processed\cleaned_data.csv,WSN-Intel-Lab-Project\data\mote_locs.txt,WSN-Intel-Lab-Project\augment\results\real\sanity\f1.05_leach_elec,52,1540512,0.32422909368516695,0.05273969952846845,207.9901184,207.9901184
real_eval_20250820T190250Z,real_eval,20250820T190250Z,heed,elec,,WSN-Intel-Lab-Project\augment\results\real\sanity\conn_scaled_1.05.txt,WSN-Intel-Lab-Project\data\processed\cleaned_data.csv,WSN-Intel-Lab-Project\data\mote_locs.txt,WSN-Intel-Lab-Project\augment\results\real\sanity\f1.05_heed_elec,52,1540512,0.3710429563367826,0.04992442772273113,196.88750079999997,196.88750079999997
real_eval_20250820T190259Z,real_eval,20250820T190259Z,etx,elec,,WSN-Intel-Lab-Project\augment\results\real\sanity\conn_scaled_1.05.txt,WSN-Intel-Lab-Project\data\processed\cleaned_data.csv,WSN-Intel-Lab-Project\data\mote_locs.txt,WSN-Intel-Lab-Project\augment\results\real\sanity\f1.05_etx_elec,52,1540512,0.6264399660527928,0.022302650028042624,87.95519999999999,87.95519999999999
real_eval_20250820T190310Z,real_eval,20250820T190310Z,trusthr,elec,,WSN-Intel-Lab-Project\augment\results\real\sanity\conn_scaled_1.05.txt,WSN-Intel-Lab-Project\data\processed\cleaned_data.csv,WSN-Intel-Lab-Project\data\mote_locs.txt,WSN-Intel-Lab-Project\augment\results\real\sanity\f1.05_trusthr_elec,52,1540512,0.6288284277334569,0.02360904686234187,93.1072512,93.1072512
